,KODE,PT,KOTA,FASWIL,KEBIJAKAN,,,STANDAR_INSTITUSI,,,STDL,AMI,,,EVALUASI_LAIN,,,JML. EV. LAIN,PENGENDALIAN,,,PENINGKATAN,,,BOBOT VLD,Ket. Validasi,BOBOT VER,Ket. Verifikasi,BOBOT UNG,Ket. Unggah,Klaster,COUNT,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6,,,10,,,,3,,,,,,,10,,,6,,,35,,35,,35,,,,
,,,,,UNG,VER,VLD,UNG,VER,VLD,VLD,UNG,VER,VLD,UNG,VER,VLD,VLD,UNG,VER,VLD,UNG,VER,VLD,% (VLD),,% (VER),,% (UNG),,,,
47,41031,Universitas Nasional Pasim,Kota Bandung,Nan Rahminawati,6,6,6,10,10,10,7,3,3,3,4,4,1,3,8,8,8,6,6,6,94%,Belum Tervalidasi,94%,Belum Terverifikasi,94%,Tidak Lengkap,Hijau,Akademi,76
48,41067,Universitas Nusa Putra,Kabupaten Sukabumi,Nan Rahminawati,6,5,5,10,10,10,36,3,3,3,3,3,3,2,10,10,10,6,6,6,97%,Belum Tervalidasi,97%,Belum Terverifikasi,100%,Sudah Unggah,Hijau,Institut,24
49,41004,Universitas Pakuan,Kota Bogor,Dewi Kurniasih,6,6,6,10,10,10,15,3,3,3,4,4,4,1,10,10,5,6,6,6,86%,Belum Tervalidasi,100%,Sudah Terverifikasi,100%,Sudah Unggah,Hijau,Politeknik,48
50,41033,Universitas Pamulang,Kota Tangerang,Yusep Ikrawan,6,6,6,10,10,10,5,3,3,3,2,2,2,0,6,6,6,6,6,6,89%,Belum Tervalidasi,89%,Belum Terverifikasi,89%,Tidak Lengkap,Hijau,Sekolah Tinggi,171
51,41078,Universitas Panca Sakti Bekasi,Kota Bekasi,Emma Hermawati Muhari,6,6,6,10,10,10,5,3,3,1,4,4,3,0,10,10,10,6,6,6,94%,Belum Tervalidasi,100%,Sudah Terverifikasi,100%,Sudah Unggah,Hijau,Universitas,120
52,41008,Universitas Pasundan,Kota Bandung,Emma Hermawati Muhari,6,6,6,10,10,10,61,3,3,3,4,4,4,6,10,10,10,6,6,6,100%,Sudah Tervalidasi,100%,Sudah Terverifikasi,100%,Sudah Unggah,Hijau,Total,439
53,41053,Universitas Pembangunan Jaya,Kota Tangerang Selatan,Supriyadi Sadikin,6,6,6,10,10,10,0,3,3,3,4,4,4,0,9,9,9,6,6,6,97%,Belum Tervalidasi,97%,Belum Terverifikasi,97%,Tidak Lengkap,Hijau,,
54,41035,Universitas Putra Indonesia,Kabupaten Cianjur,Lisye Fitria,6,6,6,10,10,10,7,3,3,3,0,0,0,0,9,9,9,6,6,6,97%,Belum Tervalidasi,97%,Belum Terverifikasi,97%,Tidak Lengkap,Hijau,,
55,41009,Universitas Swadaya Gunung Jati,Kota Cirebon,Nan Rahminawati,6,6,6,10,10,10,1,3,3,3,1,1,1,0,6,6,6,6,6,6,89%,Belum Tervalidasi,89%,Belum Terverifikasi,89%,Tidak Lengkap,Hijau,,
56,41111,Universitas Teknologi Digital,Kota Bandung,Nandi Widarman S,6,6,6,10,10,10,1,3,3,3,2,0,0,0,10,10,10,6,6,6,100%,Sudah Tervalidasi,100%,Sudah Terverifikasi,100%,Sudah Unggah,Hijau,,
57,41057,Universitas Telkom,Kota Bandung,Yusep Ikrawan,6,6,6,10,10,10,7,3,3,3,4,4,4,5,10,10,10,6,6,6,100%,Sudah Tervalidasi,100%,Sudah Terverifikasi,100%,Sudah Unggah,Hijau,,
58,41022,Universitas Winaya Mukti,Kota Bandung,Dewi Kurniasih,6,6,6,10,10,10,7,3,2,2,4,2,2,0,10,7,7,6,6,6,89%,Belum Tervalidasi,89%,Belum Terverifikasi,100%,Sudah Unggah,Hijau,,
59,41099,Universitas Yuppentek Indonesia,Kota Tangerang,Nan Rahminawati,6,6,6,10,10,10,1,3,3,3,0,0,0,0,10,10,10,6,6,6,100%,Sudah Tervalidasi,100%,Sudah Terverifikasi,100%,Sudah Unggah,Hijau,,
60,44238,Akademi Farmasi YPF,Kota Bandung,Meita Lukitawati Sujatna,6,6,6,10,10,10,0,3,3,3,4,4,4,0,10,10,10,6,6,6,100%,Sudah Tervalidasi,100%,Sudah Terverifikasi,100%,Sudah Unggah,Hijau,,
61,44072,Akademi Tata Boga Bandung,Kota Bandung,Nanah Sujanah,6,6,6,10,10,10,1,3,3,3,4,4,0,1,6,6,6,6,6,6,89%,Belum Tervalidasi,89%,Belum Terverifikasi,89%,Tidak Lengkap,Hijau,,
62,42013,Institut Pendidikan Indonesia Garut,Kabupaten Garut,Nandi Widarman S,6,6,6,10,10,10,5,3,3,3,2,2,2,6,4,4,4,6,6,6,83%,Belum Tervalidasi,83%,Belum Terverifikasi,83%,Tidak Lengkap,Hijau,,
63,42028,Institut Teknologi dan Kesehatan Mahardika,Kota Cirebon,Meita Lukitawati Sujatna,6,6,6,10,10,10,0,3,3,3,3,3,2,0,10,10,10,6,6,6,100%,Sudah Tervalidasi,100%,Sudah Terverifikasi,100%,Sudah Unggah,Hijau,,
