,KODE,PT,KOTA,FASWIL,KEBIJAKAN,,,STANDAR_INSTITUSI,,,STDL,AMI,,,EVALUASI_LAIN,,,JML. EV. LAIN,PENGENDALIAN,,,PENINGKATAN,,,BOBOT VLD,Ket. Validasi,BOBOT VER,Ket. Verifikasi,BOBOT UNG,Ket. Unggah,Klaster,COUNT,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6,,,10,,,,3,,,,,,,10,,,6,,,35,,35,,35,,,,
,,,,,UNG,VER,VLD,UNG,VER,VLD,VLD,UNG,VER,VLD,UNG,VER,VLD,VLD,UNG,VER,VLD,UNG,VER,VLD,% (VLD),,% (VER),,% (UNG),,,,
191,45034,Politeknik Kesehatan TNI-AU Ciumbuleuit,Kota Bandung,Supriyadi Sadikin,6,6,6,5,5,5,0,3,3,3,3,3,3,0,3,3,3,6,5,5,63%,Belum Tervalidasi,63%,Belum Terverifikasi,66%,Tidak Lengkap,Kuning,,
192,45044,Politeknik Pariwisata Prima Internasional,Kota Cirebon,Emma Hermawati Muhari,6,5,5,10,10,10,0,3,2,2,1,1,1,0,3,3,3,6,3,3,66%,Belum Tervalidasi,66%,Belum Terverifikasi,80%,Tidak Lengkap,Kuning,,
193,45016,Politeknik TEDC,Kota Cimahi,Emma Hermawati Muhari,6,6,6,10,10,10,1,3,3,3,3,3,3,2,3,3,3,6,6,6,80%,Belum Tervalidasi,80%,Belum Terverifikasi,80%,Tidak Lengkap,Kuning,,
194,45049,Politeknik Tiara Bunda,Kota Depok,Supriyadi Sadikin,6,6,6,10,10,10,4,3,3,3,2,2,2,0,3,3,3,6,6,6,80%,Belum Tervalidasi,80%,Belum Terverifikasi,80%,Tidak Lengkap,Kuning,,
195,43194,Sekolah Tinggi Ilmu Ekonomi Ppi,Kabupaten Tangerang,Lisye Fitria,6,6,6,10,10,10,0,3,3,3,0,0,0,1,2,1,0,6,0,0,54%,Belum Tervalidasi,57%,Belum Terverifikasi,77%,Tidak Lengkap,Kuning,,
196,43389,Sekolah Tinggi Ilmu Kesehatan Bhakti Husada Cikarang,Kabupaten Bekasi,Yusep Ikrawan,6,6,6,9,9,9,1,3,3,3,0,0,0,0,1,1,1,6,6,6,71%,Belum Tervalidasi,71%,Belum Terverifikasi,71%,Tidak Lengkap,Kuning,,
197,43078,Sekolah Tinggi Pariwisata Ars Internasional,Kota Bandung,Meita Lukitawati Sujatna,6,6,6,9,3,3,6,3,1,1,1,0,0,0,8,8,3,6,5,5,51%,Belum Tervalidasi,66%,Belum Terverifikasi,91%,Tidak Lengkap,Kuning,,
198,43351,STIKES Raflesia,Kota Depok,Meita Lukitawati Sujatna,6,5,5,10,6,6,1,3,3,3,1,0,0,0,7,7,7,6,5,5,74%,Belum Tervalidasi,74%,Belum Terverifikasi,91%,Tidak Lengkap,Kuning,,
199,43360,STKIP Sinar Cendekia,Kota Tangerang Selatan,Emma Hermawati Muhari,6,6,6,10,10,10,6,3,3,1,1,1,1,4,9,9,9,1,1,1,77%,Belum Tervalidasi,83%,Belum Terverifikasi,83%,Tidak Lengkap,Kuning,,
200,41075,Universitas Catur Insan Cendekia,Kota Cirebon,Yusep Ikrawan,6,6,6,8,8,8,2,3,3,3,4,0,0,1,4,4,4,6,6,5,74%,Belum Tervalidasi,77%,Belum Terverifikasi,77%,Tidak Lengkap,Kuning,,
201,41070,Universitas Faletehan,Kabupaten Serang,Yusep Ikrawan,6,6,6,10,10,10,0,3,3,3,2,2,2,0,10,0,0,6,1,1,57%,Belum Tervalidasi,57%,Belum Terverifikasi,100%,Sudah Unggah,Kuning,,
202,41046,Universitas Informatika Dan Bisnis Indonesia,Kota Bandung,Yusep Ikrawan,6,6,6,10,10,10,1,3,3,3,4,4,4,0,1,1,1,6,6,6,74%,Belum Tervalidasi,74%,Belum Terverifikasi,74%,Tidak Lengkap,Kuning,,
203,41026,Universitas Swiss German,Kabupaten Tangerang,Nanah Sujanah,6,6,6,10,9,9,5,3,3,3,1,0,0,0,9,1,0,6,0,0,51%,Belum Tervalidasi,54%,Belum Terverifikasi,97%,Tidak Lengkap,Kuning,,
204,44134,Akademi Kebidanan Karya Bunda Husada,Kabupaten Tangerang,Emma Hermawati Muhari,0,0,1,0,0,0,16,0,0,3,0,0,3,2,0,0,10,0,0,0,40%,Belum Tervalidasi,0%,Tidak Ada,0%,Tidak Ada,Merah,,
205,41014,Universitas Wiralodra,Kabupaten Indramayu,Emma Hermawati Muhari,6,6,6,10,10,10,2,3,3,3,1,1,0,1,7,7,7,6,6,6,91%,Belum Tervalidasi,91%,Belum Terverifikasi,91%,Tidak Lengkap,Hijau,,
206,42016,Institut Bisnis Dan Informatika Kesatuan,Kota Bogor,Meita Lukitawati Sujatna,6,6,6,4,4,4,0,3,0,0,4,4,3,0,1,1,1,6,6,6,49%,Belum Tervalidasi,49%,Belum Terverifikasi,57%,Tidak Lengkap,Merah,,
207,43315,Sekolah Tinggi Ilmu Keperawatan PPNI Jawa Barat,Kota Bandung,Meita Lukitawati Sujatna,6,0,0,10,10,10,0,3,0,0,4,1,1,1,1,1,1,6,6,6,49%,Belum Tervalidasi,49%,Belum Terverifikasi,74%,Tidak Lengkap,Merah,,
208,43333,STKIP Mutiara Banten,Kabupaten Pandeglang,Emma Hermawati Muhari,6,6,0,8,8,0,3,3,3,2,4,0,0,0,3,3,0,6,6,0,6%,Belum Tervalidasi,74%,Belum Terverifikasi,74%,Tidak Lengkap,Merah,,
209,43340,STKIP PANCAKARYA,Kota Tangerang,Emma Hermawati Muhari,6,6,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0%,Tidak Ada,63%,Belum Terverifikasi,63%,Tidak Lengkap,Merah,,
210,44002,Akademi Akuntansi Bandung,Kota Bandung,Lisye Fitria,6,5,1,10,10,8,0,3,1,1,4,0,0,0,10,0,0,6,0,0,29%,Belum Tervalidasi,46%,Belum Terverifikasi,100%,Sudah Unggah,Merah,,
211,44132,Akademi Analis Kesehatan An Nasher Cirebon,Kabupaten Cirebon,Dewi Kurniasih,6,6,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,40%,Belum Terverifikasi,40%,Tidak Lengkap,Merah,,
212,44133,Akademi Bahasa Asing Internasional Bandung,Kota Bandung,Meita Lukitawati Sujatna,6,0,0,10,0,0,2,3,0,0,0,0,0,0,3,0,0,3,0,0,0%,Tidak Ada,0%,Tidak Ada,71%,Tidak Lengkap,Merah,,
213,44246,Akademi Farmasi Persada Sukabumi,Kota Sukabumi,Emma Hermawati Muhari,6,4,4,0,0,0,0,3,0,0,4,4,0,0,0,0,0,6,0,0,11%,Belum Tervalidasi,11%,Belum Terverifikasi,43%,Tidak Lengkap,Merah,,
214,44208,Akademi Kebidanan Al-Ikhlas Cisarua,Kabupaten Bogor,Meita Lukitawati Sujatna,6,6,0,10,10,0,2,3,0,0,4,0,0,0,10,10,0,6,6,0,0%,Tidak Ada,91%,Belum Terverifikasi,100%,Sudah Unggah,Merah,,
215,44188,Akademi Kebidanan Ar-Rahmah Bandung,Kota Bandung,Nan Rahminawati,6,6,0,8,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,40%,Belum Terverifikasi,40%,Tidak Lengkap,Merah,,
216,44129,Akademi Kebidanan Assyifa Tangerang,Kota Tangerang,Dewi Kurniasih,6,6,1,0,0,0,0,3,3,0,4,4,0,0,0,0,0,0,0,0,3%,Belum Tervalidasi,26%,Belum Terverifikasi,26%,Tidak Lengkap,Merah,,
217,44211,Akademi Kebidanan Bakti Indonesia Bogor,Kabupaten Bogor,Nan Rahminawati,6,5,5,10,0,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,14%,Belum Tervalidasi,14%,Belum Terverifikasi,83%,Tidak Lengkap,Merah,,
218,44198,Akademi Kebidanan Bhakti Mitra Husada,Kota Tangerang,Nan Rahminawati,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah,,
219,44219,Akademi Kebidanan Bina Husada Serang,Kota Serang,Nandi Widarman S,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,31%,Tidak Lengkap,Merah,,
220,44127,Akademi Kebidanan Bina Husada Tangerang,Kabupaten Tangerang,Dewi Kurniasih,6,0,0,10,3,0,3,3,0,0,0,0,0,0,9,9,0,6,6,0,0%,Tidak Ada,51%,Belum Terverifikasi,97%,Tidak Lengkap,Merah,,
221,44204,Akademi Kebidanan Bunda Auni Bogor,Kabupaten Bogor,Nandi Widarman S,6,0,0,9,0,0,3,3,0,0,0,0,0,0,6,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,69%,Tidak Lengkap,Merah,,
222,44197,Akademi Kebidanan Citama Raya Depok,Kota Depok,Yusep Ikrawan,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah,,
223,44244,Akademi Kebidanan Farmako Husada Al-Muchtari Bogor,Kabupaten Bogor,Yusep Ikrawan,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah,,
224,44182,Akademi Kebidanan Gema Nusantara Bekasi,Kota Bekasi,Yusep Ikrawan,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah,,
225,44225,Akademi Kebidanan Graha Husada Cirebon,Kabupaten Cirebon,Yusep Ikrawan,6,5,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,2,2,0,3%,Belum Tervalidasi,29%,Belum Terverifikasi,31%,Tidak Lengkap,Merah,,
226,44174,Akademi Kebidanan Isma Husada Cirebon,Kota Cirebon,Dewi Kurniasih,6,6,2,10,10,9,8,2,2,2,0,0,0,0,4,4,0,6,6,1,40%,Belum Tervalidasi,80%,Belum Terverifikasi,80%,Tidak Lengkap,Merah,,
227,44223,Akademi Kebidanan Sayid Sabiq Indramayu,Kabupaten Indramayu,Yusep Ikrawan,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah,,
228,44215,Akademi Kebidanan Sentra Bina Yudistira Tangerang,Kota Tangerang,Dewi Kurniasih,6,1,1,10,7,6,7,3,3,2,4,4,0,0,2,2,0,4,4,0,26%,Belum Tervalidasi,49%,Belum Terverifikasi,71%,Tidak Lengkap,Merah,,
229,44248,Akademi Kebidanan Ummul Quro Al-Islami Bogor,Kabupaten Bogor,Nan Rahminawati,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah,,
230,44226,Akademi Kebidanan Wijaya Husada,Kota Bogor,Dewi Kurniasih,6,0,0,10,0,0,3,3,0,0,3,0,0,0,2,2,0,6,0,0,0%,Tidak Ada,6%,Belum Terverifikasi,77%,Tidak Lengkap,Merah,,
231,44207,Akademi Keperawatan Al-Ikhlas Cisarua,Kabupaten Bogor,Dewi Kurniasih,6,0,0,10,10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,29%,Belum Tervalidasi,29%,Belum Terverifikasi,46%,Tidak Lengkap,Merah,,
232,44185,Akademi Keperawatan Dharma Husada Cirebon,Kota Cirebon,Dewi Kurniasih,6,6,1,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26%,Belum Tervalidasi,40%,Belum Terverifikasi,40%,Tidak Lengkap,Merah,,
233,44172,Akademi Keperawatan Yatna Yuana Lebak,Kabupaten Lebak,Supriyadi Sadikin,6,4,3,3,3,3,1,2,2,2,0,0,0,0,0,0,0,0,0,0,23%,Belum Tervalidasi,26%,Belum Terverifikasi,31%,Tidak Lengkap,Merah,,
234,44152,Akademi Keperawatan YPIB Majalengka,Kabupaten Majalengka,Dewi Kurniasih,6,0,0,8,0,0,2,3,0,0,4,4,4,0,1,1,1,6,3,3,11%,Belum Tervalidasi,11%,Belum Terverifikasi,69%,Tidak Lengkap,Merah,,
235,44124,Akademi Keuangan dan Bisnis Indonesia Internasional,Kota Bandung,Nandi Widarman S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,0%,Tidak Ada,Merah,,
236,46004,Akademi Komunitas Insan Tazakka,Kabupaten Karawang,Supriyadi Sadikin,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah,,
237,46003,Akademi Komunitas Presiden,Kabupaten Bekasi,Supriyadi Sadikin,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,20%,Tidak Lengkap,Merah,,
238,44064,Akademi Manajemen Informatika Dan Komputer Garut,Kabupaten Garut,Yusep Ikrawan,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah,,
239,44060,Akademi Manajemen Informatika Dan Komputer Serang,Kota Serang,Yusep Ikrawan,6,1,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11%,Belum Tervalidasi,11%,Belum Terverifikasi,26%,Tidak Lengkap,Merah,,
240,44110,Akademi Manajemen Informatika dan Komputer Wahana Mandiri,Kota Depok,Nanah Sujanah,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah,,
241,44089,Akademi Manajemen Informatika Dan Komputer YPAT,Kabupaten Purwakarta,Yusep Ikrawan,6,6,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,6,6,5,31%,Belum Tervalidasi,43%,Belum Terverifikasi,43%,Tidak Lengkap,Merah,,
242,44035,Akademi Maritim Suaka Bahari,Kabupaten Cirebon,Emma Hermawati Muhari,6,6,1,10,10,0,0,3,3,1,0,0,0,0,1,1,0,6,6,1,9%,Belum Tervalidasi,74%,Belum Terverifikasi,74%,Tidak Lengkap,Merah,,
243,44050,Akademi Pariwisata Bandung,Kota Bandung,Meita Lukitawati Sujatna,6,6,5,6,6,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,26%,Belum Tervalidasi,43%,Belum Terverifikasi,43%,Tidak Lengkap,Merah,,
244,44107,Akademi Pariwisata Citra Buana Indonesia,Kabupaten Sukabumi,Nanah Sujanah,6,2,0,4,0,0,0,2,0,0,1,1,0,0,3,0,0,0,0,0,0%,Tidak Ada,6%,Belum Terverifikasi,43%,Tidak Lengkap,Merah,,
245,44203,Akademi Pariwisata Nusantara Tangerang,Kota Tangerang Selatan,Nanah Sujanah,6,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17%,Belum Tervalidasi,17%,Belum Terverifikasi,26%,Tidak Lengkap,Merah,,
246,44065,Akademi Pariwisata Siliwangi,Kota Tasikmalaya,Nanah Sujanah,6,6,1,10,10,0,0,3,3,0,4,4,0,0,10,10,0,6,6,0,3%,Belum Tervalidasi,100%,Sudah Terverifikasi,100%,Sudah Unggah,Merah,,
247,44243,Akademi Pariwisata Tunas Nusantara Mandiri,Kota Tangerang,Nanah Sujanah,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah,,
248,44056,Akademi Pariwisata Yasmi,Kota Cirebon,Meita Lukitawati Sujatna,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0%,Tidak Ada,34%,Belum Terverifikasi,34%,Tidak Lengkap,Merah,,
249,44051,Akademi Perdagangan Bandung,Kota Bekasi,Nanah Sujanah,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah,,
250,44245,Akademi Perhotelan Tunas Indonesia,Kota Tangerang Selatan,Nanah Sujanah,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah,,
251,44176,Akademi Perpajakan Maria Mediatrix,Kabupaten Tangerang,Nan Rahminawati,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah,,
252,44235,Akademi Perpajakan Padang (AKAP) Bekasi,Kabupaten Bekasi,Meita Lukitawati Sujatna,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah,,
253,44187,Akademi Radiognostik Dan Radioterapi Yapenpernus,Kota Bekasi,Nan Rahminawati,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah,,
254,44098,Akademi Sekretari Dan Manajemen Insulindo,Kabupaten Bekasi,Nan Rahminawati,6,2,2,9,3,3,0,1,1,0,2,2,2,0,3,1,1,0,0,0,17%,Belum Tervalidasi,20%,Belum Terverifikasi,54%,Tidak Lengkap,Merah,,
255,44022,Akademi Sekretari Manajemen Taruna Bakti,Kota Bandung,Nan Rahminawati,6,3,3,9,0,0,5,3,2,2,4,0,0,0,3,3,3,6,0,0,23%,Belum Tervalidasi,23%,Belum Terverifikasi,77%,Tidak Lengkap,Merah,,
256,44069,Akademi Sekretari Triguna,Kota Bogor,Nan Rahminawati,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah,,
257,44092,Akademi Teknologi Aeronautika Siliwangi,Kota Bandung,Nan Rahminawati,6,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,46%,Tidak Lengkap,Merah,,
258,44074,Akademi Teknologi Bandung,Kota Bandung,Meita Lukitawati Sujatna,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah,,
259,44078,Akademi Teknologi Bogor,Kota Bogor,Lisye Fitria,6,1,1,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,6%,Belum Tervalidasi,6%,Belum Terverifikasi,26%,Tidak Lengkap,Merah,,
260,44249,Akademi Teknologi Radiologi,Kota Bogor,Meita Lukitawati Sujatna,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah,,
261,44105,Akademi Telekomunikasi Bogor,Kota Bogor,Lisye Fitria,6,6,1,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,9%,Belum Tervalidasi,23%,Belum Terverifikasi,26%,Tidak Lengkap,Merah,,
262,44126,Akademi Telekomunikasi Nusantara,Kota Bekasi,Lisye Fitria,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah,,
263,44045,AMIK Bumi Nusantara,Kabupaten Cirebon,Lisye Fitria,6,5,0,10,10,0,0,3,3,0,4,0,0,1,10,10,0,6,6,0,0%,Tidak Ada,97%,Belum Terverifikasi,100%,Sudah Unggah,Merah,,
264,44233,AMIK Mapan Tangerang,Kota Tangerang,Yusep Ikrawan,6,6,6,5,5,5,3,0,0,0,0,0,0,7,0,0,0,0,0,0,31%,Belum Tervalidasi,31%,Belum Terverifikasi,31%,Tidak Lengkap,Merah,,
265,44123,AMIK Pakarti Luhur,Kota Tangerang,Yusep Ikrawan,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah,,
266,44102,AMIK Purnama Niaga,Kabupaten Indramayu,Nanah Sujanah,6,4,4,10,10,10,0,3,0,0,3,0,0,0,3,0,0,6,0,0,40%,Belum Tervalidasi,40%,Belum Terverifikasi,80%,Tidak Lengkap,Merah,,
267,44068,AMIK Sultan Agung,Kota Bekasi,Meita Lukitawati Sujatna,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,17%,Belum Terverifikasi,17%,Tidak Lengkap,Merah,,
268,41131,Deakin University,Kota Bandung,Nandi Widarman S,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah,,
269,42030,Institut Budi Utomo Nasional,Kabupaten Majalengka,Yusep Ikrawan,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah,,
270,42029,Institut Kesehatan dan Bisnis Annisa,Kabupaten Bogor,Nan Rahminawati,6,0,0,10,9,9,1,3,3,0,3,0,0,0,1,1,0,6,3,0,26%,Belum Tervalidasi,46%,Belum Terverifikasi,74%,Tidak Lengkap,Merah,,
271,42025,Institut Kesehatan Immanuel,Kota Bandung,Supriyadi Sadikin,6,6,6,5,0,0,7,3,0,0,4,0,0,0,5,0,0,6,0,0,17%,Belum Tervalidasi,17%,Belum Terverifikasi,71%,Tidak Lengkap,Merah,,
272,42011,Institut Manajemen Wiyata Indonesia,Kota Sukabumi,Nanah Sujanah,6,6,2,10,10,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31%,Belum Tervalidasi,46%,Belum Terverifikasi,46%,Tidak Lengkap,Merah,,
273,42031,Institut Pangeran Dharma Kusuma,Kabupaten Indramayu,Nanah Sujanah,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah,,
274,42032,Institut Prima Bangsa,Kabupaten Cirebon,Lisye Fitria,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah,,
275,42018,Institut Teknologi dan Bisnis Bina Sarana Global,Kota Tangerang,Lisye Fitria,6,6,6,10,6,6,2,3,1,1,4,1,1,7,3,3,3,6,0,0,46%,Belum Tervalidasi,46%,Belum Terverifikasi,80%,Tidak Lengkap,Merah,,
276,42021,Institut Teknologi dan Bisnis Riyadlul Ulum,Kota Tasikmalaya,Supriyadi Sadikin,6,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9%,Belum Tervalidasi,9%,Belum Terverifikasi,26%,Tidak Lengkap,Merah,,
277,42019,Institut Teknologi dan Bisnis Visi Nusantara Bogor,Kabupaten Bogor,Meita Lukitawati Sujatna,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah,,
278,41129,Lancaster University,Kota Bandung,Yusep Ikrawan,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah,,
279,41103,Monash University Indonesia,Kabupaten Tangerang,Nan Rahminawati,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah,,
280,45022,Politeknik Agroindustri,Kabupaten Subang,Emma Hermawati Muhari,6,6,1,9,9,0,0,3,3,3,4,3,0,0,7,7,0,6,0,0,11%,Belum Tervalidasi,71%,Belum Terverifikasi,89%,Tidak Lengkap,Merah,,
281,45050,Politeknik Bhakti Kartini,Kota Bekasi,Emma Hermawati Muhari,6,2,1,10,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29%,Belum Tervalidasi,34%,Belum Terverifikasi,46%,Tidak Lengkap,Merah,,
282,45004,Politeknik Bina Budaya Cipta,Kota Sukabumi,Emma Hermawati Muhari,6,5,5,10,10,10,0,3,3,2,4,4,1,0,3,3,0,0,0,0,49%,Belum Tervalidasi,60%,Belum Terverifikasi,63%,Tidak Lengkap,Merah,,
283,45070,Politeknik Bisnis Digital Indonesia,Kabupaten Bogor,Emma Hermawati Muhari,6,4,4,10,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,31%,Belum Tervalidasi,31%,Belum Terverifikasi,46%,Tidak Lengkap,Merah,,
284,45056,Politeknik Digital Boash Indonesia,Kabupaten Bogor,Nandi Widarman S,6,6,6,9,9,9,8,3,3,3,1,1,1,0,5,5,5,6,6,6,83%,Belum Tervalidasi,83%,Belum Terverifikasi,83%,Tidak Lengkap,Hijau,,
285,45003,Politeknik Gajah Tunggal,Kabupaten Tangerang,Nandi Widarman S,6,1,0,10,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0%,Tidak Ada,3%,Belum Terverifikasi,74%,Tidak Lengkap,Merah,,
286,45036,Politeknik Geologi Dan Pertambangan Agp,Kota Bandung,Nandi Widarman S,6,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3%,Belum Tervalidasi,3%,Belum Terverifikasi,26%,Tidak Lengkap,Merah,,
287,45019,Politeknik Gunakarya Indonesia Bekasi,Kota Bekasi,Nandi Widarman S,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah,,
288,45061,Politeknik IDN Bogor,Kabupaten Bogor,Nandi Widarman S,6,6,0,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,37%,Belum Terverifikasi,46%,Tidak Lengkap,Merah,,
289,45048,Politeknik Industri ATMI,Kabupaten Bekasi,Nandi Widarman S,6,6,6,10,0,0,0,3,3,3,1,0,0,2,9,9,0,6,6,1,29%,Belum Tervalidasi,69%,Belum Terverifikasi,97%,Tidak Lengkap,Merah,,
290,45066,Politeknik Istikom Bina Citra Informatika,Kabupaten Sukabumi,Nandi Widarman S,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah,,
291,45032,Politeknik Kelapa Sawit Citra Widya Edukasi,Kabupaten Bekasi,Nandi Widarman S,6,2,1,10,0,0,0,3,3,3,0,0,0,0,7,0,0,6,3,1,14%,Belum Tervalidasi,23%,Belum Terverifikasi,91%,Tidak Lengkap,Merah,,
292,45065,Politeknik Kepribadian,Kabupaten Bekasi,Nandi Widarman S,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah,,
293,45045,Politeknik Kesehatan Aisyiyah Banten,Kabupaten Serang,Nandi Widarman S,6,6,6,10,10,10,0,2,2,2,0,0,0,0,4,0,0,0,0,0,51%,Belum Tervalidasi,51%,Belum Terverifikasi,63%,Tidak Lengkap,Kuning,,
294,45057,Politeknik Kesehatan KMC Kuningan,Kabupaten Kuningan,Supriyadi Sadikin,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah,,
